id_fecha,fecha,año,trimestre
1,10/11/2021,2023,q4
2,15/02/2024,2021,q4
3,11/10/2021,2022,q3
4,26/11/2024,2023,q1
5,20/09/2023,2021,q4
6,07/11/2022,2023,q2
7,27/04/2023,2023,q4
8,02/01/2024,2022,q4
9,17/01/2025,2022,q2
10,11/07/2021,2022,q4
11,11/09/2024,2024,q4
12,11/10/2025,2021,q4
13,22/07/2024,2024,q2
14,28/10/2024,2023,q3
15,04/12/2023,2025,q4
16,29/10/2022,2023,q4
17,27/09/2023,2025,q2
18,06/07/2022,2021,q3
19,07/07/2025,2024,q1
20,31/10/2025,2021,q2
21,02/05/2022,2022,q4
22,15/12/2025,2025,q1
23,24/06/2022,2025,q3
24,10/09/2024,2021,q1
25,22/08/2021,2022,q1
26,03/04/2022,2021,q4
27,27/06/2021,2023,q3
28,02/04/2025,2021,q2
29,08/11/2024,2025,q4
30,09/11/2022,2023,q1
31,16/01/2022,2024,q1
32,13/09/2023,2021,q3
33,03/12/2025,2025,q1
34,23/08/2022,2022,q4
35,05/12/2021,2025,q3
36,28/12/2025,2024,q1
37,22/03/2025,2023,q4
38,07/07/2025,2025,q2
39,27/11/2021,2021,q3
40,30/08/2022,2023,q1
41,02/05/2024,2024,q1
42,23/01/2025,2022,q1
43,20/12/2025,2025,q1
44,04/03/2025,2022,q4
45,16/06/2024,2022,q1
46,04/01/2025,2025,q1
47,16/01/2025,2023,q2
48,30/07/2023,2022,q3
49,09/07/2025,2023,q4
50,27/05/2021,2021,q4
51,28/02/2024,2025,q1
52,24/02/2021,2021,q4
53,27/12/2021,2024,q1
54,12/11/2022,2023,q2
55,12/11/2022,2021,q3
56,10/03/2025,2025,q4
57,11/06/2023,2022,q2
58,21/12/2022,2024,q2
59,24/06/2024,2023,q1
60,25/04/2025,2025,q3
61,07/06/2023,2023,q1
62,26/01/2025,2023,q1
63,12/12/2022,2025,q4
64,27/12/2023,2023,q1
65,10/05/2021,2022,q3
66,17/12/2021,2025,q1
67,25/02/2025,2024,q1
68,16/09/2024,2023,q3
69,17/02/2024,2024,q4
70,12/04/2021,2024,q2
71,16/03/2022,2023,q2
72,20/05/2021,2022,q1
73,28/03/2023,2025,q3
74,30/08/2023,2023,q3
75,05/11/2025,2022,q4
76,19/12/2021,2022,q1
77,02/11/2021,2025,q3
78,18/08/2021,2025,q2
79,26/02/2025,2024,q4
80,05/08/2021,2025,q3
81,05/12/2025,2022,q3
82,27/10/2021,2022,q3
83,19/03/2021,2022,q2
84,03/12/2023,2023,q3
85,23/03/2024,2021,q4
86,25/03/2021,2022,q2
87,11/10/2023,2024,q1
88,18/09/2025,2021,q1
89,14/12/2021,2024,q3
90,01/01/2024,2025,q3
91,16/07/2023,2023,q1
92,14/02/2024,2022,q2
93,25/09/2021,2023,q3
94,11/11/2022,2021,q2
95,27/06/2021,2025,q2
96,23/10/2021,2024,q2
97,31/12/2023,2024,q4
98,29/09/2023,2024,q4
99,16/03/2025,2025,q4
100,18/06/2023,2022,q1
101,20/11/2025,2025,q3
102,15/04/2022,2022,q1
103,17/09/2021,2022,q1
104,06/11/2021,2025,q1
105,02/10/2022,2025,q1
106,16/04/2023,2023,q4
107,18/01/2022,2023,q3
108,19/12/2023,2021,q3
109,28/06/2024,2023,q1
110,26/08/2023,2023,q2
111,27/11/2024,2022,q3
112,01/01/2023,2024,q3
113,03/03/2024,2025,q2
114,22/07/2024,2022,q2
115,09/03/2024,2023,q4
116,27/04/2024,2022,q2
117,24/05/2024,2024,q4
118,08/02/2025,2025,q4
119,02/04/2025,2021,q3
120,01/11/2025,2021,q1
121,25/10/2021,2023,q2
122,26/11/2023,2022,q1
123,02/02/2024,2023,q1
124,29/08/2025,2021,q1
125,15/10/2025,2021,q4
126,12/11/2024,2021,q2
127,23/06/2021,2024,q4
128,12/08/2024,2022,q1
129,15/08/2021,2025,q2
130,13/10/2024,2024,q1
131,05/04/2021,2025,q3
132,06/03/2023,2025,q1
133,07/10/2025,2025,q4
134,19/08/2025,2022,q4
135,03/02/2021,2022,q2
136,19/07/2021,2025,q4
137,27/01/2023,2021,q2
138,21/07/2024,2025,q1
139,16/02/2022,2023,q3
140,12/10/2021,2025,q2
141,17/02/2022,2021,q4
142,20/07/2024,2021,q3
143,17/01/2024,2023,q3
144,07/08/2025,2022,q2
145,19/03/2025,2025,q3
146,10/09/2023,2021,q4
147,26/09/2021,2024,q4
148,18/02/2022,2022,q3
149,21/07/2023,2023,q4
150,02/07/2024,2021,q3
151,30/08/2025,2023,q1
152,09/10/2023,2021,q1
153,08/09/2023,2025,q4
154,25/11/2024,2021,q2
155,25/09/2024,2025,q4
156,10/06/2023,2023,q4
157,18/10/2021,2021,q4
158,09/10/2023,2022,q2
159,31/03/2024,2024,q2
160,06/04/2025,2021,q1
161,30/06/2023,2022,q2
162,24/05/2022,2025,q4
163,28/07/2024,2021,q1
164,04/02/2023,2022,q4
165,24/12/2025,2023,q4
166,31/05/2021,2024,q4
167,19/05/2022,2024,q2
168,07/02/2023,2025,q2
169,21/08/2024,2025,q2
170,14/10/2022,2021,q4
171,19/09/2024,2024,q4
172,04/08/2021,2022,q2
173,31/12/2021,2024,q1
174,06/03/2023,2025,q4
175,23/05/2023,2022,q3
176,10/11/2022,2023,q3
177,19/12/2025,2024,q2
178,24/05/2024,2023,q4
179,29/05/2022,2025,q2
180,24/08/2022,2025,q1
181,22/03/2024,2021,q4
182,10/07/2025,2025,q4
183,27/12/2023,2021,q4
184,27/04/2022,2024,q3
185,24/12/2024,2025,q4
186,26/10/2021,2025,q4
187,12/09/2025,2022,q2
188,22/02/2021,2022,q2
189,27/05/2025,2021,q4
190,15/06/2021,2025,q3
191,28/04/2021,2022,q4
192,04/05/2022,2024,q3
193,08/05/2025,2023,q1
194,06/03/2024,2023,q1
195,13/02/2023,2021,q1
196,05/11/2023,2024,q2
197,27/07/2024,2022,q4
198,16/03/2024,2022,q3
199,14/01/2022,2022,q3
200,30/01/2023,2022,q1
201,30/11/2023,2023,q3
202,24/02/2021,2021,q1
203,17/04/2023,2022,q4
204,29/11/2025,2021,q4
205,21/11/2024,2024,q1
206,08/04/2025,2025,q4
207,02/02/2025,2025,q4
208,23/08/2022,2021,q1
