id_venta,id_modelo,id_concesionaria,id_fecha,precio_usd,unidades_vendidas,ingresos_usd,costo_produccion_usd,ganancia_usd,participacion_mercado_pct,discontinuar_modelo
1,1,1,1,37226,305,11353930,27000,3118930,11,no
2,1,2,2,36046,200,7209200,27000,1809200,9,no
3,2,2,3,19486,237,4618182,15500,944682,9,no
4,3,2,4,15700,53,832100,11000,249100,12,si
5,4,1,5,26296,216,5679936,19000,1575936,6,no
6,5,1,6,27157,312,8472984,21500,1764984,14,no
7,6,2,7,18311,129,2362119,12500,749619,3,no
8,7,1,8,45371,244,11070524,33000,3018524,2,no
9,8,1,9,27217,220,5987740,20000,1587740,9,no
10,9,1,10,44642,238,10624796,36000,2056796,2,no
11,2,2,11,22260,236,5253360,15500,1595360,3,no
12,5,2,12,26934,258,6948972,21500,1401972,14,no
13,1,2,13,36782,320,11770240,27000,3130240,6,no
14,4,1,14,24133,224,5405792,19000,1149792,15,no
15,6,1,15,16954,163,2763502,12500,726002,8,no
16,9,2,16,51718,173,8947214,36000,2719214,3,no
17,8,1,17,27146,176,4777696,20000,1257696,13,no
18,6,1,18,17683,151,2670133,12500,782633,4,no
19,7,1,19,42727,174,7434498,33000,1692498,11,no
20,2,1,20,21324,138,2942712,15500,803712,7,no
21,7,1,21,45935,254,11667490,33000,3285490,11,no
22,6,2,22,17168,182,3124576,12500,849576,13,no
23,1,2,23,37337,242,9035554,27000,2501554,6,no
24,1,1,24,36922,297,10965834,27000,2946834,10,no
25,7,1,25,43662,214,9343668,33000,2281668,2,no
26,3,1,26,14485,117,1694745,11000,407745,6,si
27,4,1,27,26473,162,4288626,19000,1210626,6,no
28,7,1,28,40041,246,9850086,33000,1732086,1,no
29,5,1,29,28339,254,7198106,21500,1737106,12,no
30,9,1,30,48035,256,12296960,36000,3080960,11,no
31,5,1,31,27816,207,5757912,21500,1307412,11,no
32,2,1,32,21219,205,4349895,15500,1172395,13,no
33,9,2,33,47410,263,12468830,36000,3000830,15,no
34,9,1,34,42867,203,8702001,36000,1394001,11,no
35,8,1,35,28040,192,5383680,20000,1543680,13,no
36,6,2,36,15800,128,2022400,12500,422400,14,si
37,2,2,37,22245,192,4271040,15500,1295040,15,no
38,3,2,38,13689,68,930852,11000,182852,1,si
39,3,1,39,13210,76,1003960,11000,167960,12,si
40,2,1,40,22661,138,3127218,15500,988218,1,no
41,5,2,41,29025,191,5543775,21500,1437275,10,no
42,8,1,42,28783,243,6994269,20000,2134269,9,no
43,3,2,43,13037,76,990812,11000,154812,2,si
44,4,2,44,26674,187,4988038,19000,1435038,2,no
45,3,2,45,15220,64,974080,11000,270080,3,si
46,5,1,46,29818,266,7931588,21500,2212588,7,no
47,9,2,47,45453,244,11090532,36000,2306532,10,no
48,8,2,48,27399,188,5151012,20000,1391012,4,no
49,9,2,49,49909,287,14323883,36000,3991883,5,no
50,7,2,50,40214,181,7278734,33000,1305734,9,no
51,2,1,51,22482,192,4316544,15500,1340544,11,no
52,9,1,52,47099,235,11068265,36000,2608265,2,no
53,9,2,53,50929,170,8657930,36000,2537930,12,no
54,4,2,54,25497,165,4207005,19000,1072005,5,no
55,9,1,55,48568,290,14084720,36000,3644720,11,no
56,7,2,56,38792,228,8844576,33000,1320576,12,no
57,1,1,57,34889,335,11687815,27000,2642815,1,no
58,2,1,58,19877,205,4074785,15500,897285,4,no
59,5,1,59,29042,289,8393138,21500,2179638,10,no
60,1,2,60,32362,346,11197252,27000,1855252,11,no
61,5,1,61,29523,309,9122607,21500,2479107,4,no
62,3,2,62,14033,84,1178772,11000,254772,14,si
63,9,2,63,47229,255,12043395,36000,2863395,15,no
64,4,1,64,24244,188,4557872,19000,985872,5,no
65,3,2,65,14293,117,1672281,11000,385281,13,si
66,2,1,66,21231,183,3885273,15500,1048773,3,no
67,1,1,67,35497,340,12068980,27000,2888980,11,no
68,9,1,68,47988,241,11565108,36000,2889108,14,no
69,1,2,69,33646,223,7503058,27000,1482058,8,no
70,9,1,70,47180,228,10757040,36000,2549040,10,no
71,5,2,71,29451,229,6744279,21500,1820779,6,no
72,4,2,72,25999,212,5511788,19000,1483788,5,no
73,3,1,73,14219,54,767826,11000,173826,8,si
74,5,1,74,27804,199,5532996,21500,1254496,12,no
75,1,1,75,34674,251,8703174,27000,1926174,13,no
76,2,1,76,20792,186,3867312,15500,984312,10,no
77,1,2,77,32338,263,8504894,27000,1403894,12,no
78,5,2,78,28896,255,7368480,21500,1885980,2,no
79,6,2,79,18653,144,2686032,12500,886032,2,no
80,2,1,80,22233,189,4202037,15500,1272537,15,no
81,8,2,81,25146,208,5230368,20000,1070368,10,no
82,7,2,82,41819,227,9492913,33000,2001913,1,no
83,3,1,83,15785,87,1373295,11000,416295,6,si
84,8,2,84,28582,240,6859680,20000,2059680,7,no
85,4,2,85,25659,170,4362030,19000,1132030,8,no
86,7,2,86,45022,209,9409598,33000,2512598,7,no
87,2,1,87,22282,189,4211298,15500,1281798,3,no
88,8,1,88,25667,240,6160080,20000,1360080,1,no
89,7,2,89,38036,299,11372764,33000,1505764,3,no
90,6,1,90,18713,127,2376551,12500,789051,7,no
91,9,1,91,48628,208,10114624,36000,2626624,12,no
92,6,2,92,15422,151,2328722,12500,441222,10,si
93,3,1,93,14912,107,1595584,11000,418584,7,si
94,7,2,94,45123,184,8302632,33000,2230632,15,no
95,8,2,95,26502,228,6042456,20000,1482456,14,no
96,7,2,96,41873,293,12268789,33000,2599789,2,no
97,9,1,97,46003,271,12466813,36000,2710813,3,no
98,6,2,98,17957,142,2549894,12500,774894,6,no
99,5,2,99,30507,265,8084355,21500,2386855,11,no
100,2,1,100,20030,197,3945910,15500,892410,2,no
101,3,2,101,14525,116,1684900,11000,408900,11,si
102,1,1,102,35359,337,11915983,27000,2816983,1,no
103,1,1,103,33497,212,7101364,27000,1377364,4,no
